詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
八家將,ㄅㄚ ㄐㄧㄚ ㄐㄧㄤˋ,ㄅㄚ ㄐㄧㄚ ㄐㄧㄤ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
巴不得,ㄅㄚ ㄅㄨˋ ˙ㄉㄜ,ㄅㄚ ㄅㄨˋ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
吧檯,ㄅㄚ ㄊㄞˊ,˙ㄅㄚ ㄊㄞˊ,吧:˙ㄅㄚ→ㄅㄚ(IVS+1),IVS可修,
拔刀相助,ㄅㄚˊ ㄉㄠ ㄒㄧㄤ ㄓㄨˋ,ㄅㄚˊ ㄉㄠ ㄒㄧㄤˋ ㄓㄨˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
靶子,ㄅㄚˇ ˙ㄗ,ㄅㄚˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
爸爸,ㄅㄚˋ ˙ㄅㄚ,ㄅㄚˋ ㄅㄚˋ,爸:ㄅㄚˋ→˙ㄅㄚ(IVS+1),IVS可修,
般若,ㄅㄛ ㄖㄜˇ,ㄅㄢ ㄖㄨㄛˋ,般:ㄅㄢ→ㄅㄛ(IVS+1); 若:ㄖㄨㄛˋ→ㄖㄜˇ(IVS+1),IVS可修,
剝削,ㄅㄛ ㄒㄩㄝˋ,ㄅㄛ ㄒㄧㄠ,削:ㄒㄧㄠ→ㄒㄩㄝˋ(IVS+1),IVS可修,
伯伯,ㄅㄛˊ ˙ㄅㄛ,ㄅㄛˊ ㄅㄛˊ,伯:ㄅㄛˊ→˙ㄅㄛ(IVS+1),IVS可修,
脖子,ㄅㄛˊ ˙ㄗ,ㄅㄛˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
薄荷,ㄅㄛˋ ㄏㄜˊ,ㄅㄛˊ ㄏㄜˊ,薄:ㄅㄛˊ→ㄅㄛˋ(IVS+1),IVS可修,
薄荷腦,ㄅㄛˋ ㄏㄜˊ ㄋㄠˇ,ㄅㄛˊ ㄏㄜˊ ㄋㄠˇ,薄:ㄅㄛˊ→ㄅㄛˋ(IVS+1),IVS可修,
薄荷油,ㄅㄛˋ ㄏㄜˊ ㄧㄡˊ,ㄅㄛˊ ㄏㄜˊ ㄧㄡˊ,薄:ㄅㄛˊ→ㄅㄛˋ(IVS+1),IVS可修,
簸箕,ㄅㄛˋ ㄐㄧ,ㄅㄛˇ ㄐㄧ,簸:ㄅㄛˇ→ㄅㄛˋ(IVS+1),IVS可修,
百發百中,ㄅㄞˇ ㄈㄚ ㄅㄞˇ ㄓㄨㄥˋ,ㄅㄞˇ ㄈㄚ ㄅㄞˇ ㄓㄨㄥ,中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
