詞目,簡編本各讀音（主讀音在前）,字型目前顯示,目前狀態,建議,理由,各讀音釋義
本事,ㄅㄣˇ ㄕˋ / ㄅㄣˇ ˙ㄕ,ㄅㄣˇ ㄕˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄅㄣˇ ㄕˋ＝1.文學或戲曲作品中所依據的故事情節或原委。[例]這部電影的本事取材自奧運選手的成長過程，十分感人。 2.文學或戲曲作品 ‖ ㄅㄣˇ ˙ㄕ＝能力、本領。[例]成就任何事業都得靠真本事，不要心存僥倖。
辟邪,ㄅㄧˋ ㄒㄧㄝˊ / ㄆㄧˋ ㄒㄧㄝˊ,ㄅㄧˋ ㄒㄧㄝˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄅㄧˋ ㄒㄧㄝˊ＝辟，通「避」。辟邪，指避開邪惡。[例]傳說在端午節時，抹雄黃或喝雄黃酒可以驅魔辟邪。 ‖ ㄆㄧˋ ㄒㄧㄝˊ＝邪惡不正當。[例]淫亂辟邪、辟邪之人
便當,ㄅㄧㄢˋ ˙ㄉㄤ / ㄅㄧㄢˋ ㄉㄤ,ㄅㄧㄢˋ ㄉㄤ,目前顯示=第2讀音,維持 ㄅㄧㄢˋ ㄉㄤ,小學生用法＝飯盒,ㄅㄧㄢˋ ˙ㄉㄤ＝方便、便利。[例]這兒離市區很近，逛街購物很便當。 ‖ ㄅㄧㄢˋ ㄉㄤ＝飯盒。§日べんとう[例]素食便當
便宜,ㄆㄧㄢˊ ㄧˊ / ㄅㄧㄢˋ ㄧˊ,ㄅㄧㄢˋ ㄧˊ,目前顯示=第2讀音,改 ㄆㄧㄢˊ ㄧˊ,物價低廉，日常用法,ㄆㄧㄢˊ ㄧˊ＝1.物價低廉。[例]這件衣服的價錢真便宜。 2.不應該得到或額外的利益。[例]為人處世應盡責守分，不要想占人便宜。 ‖ ㄅㄧㄢˋ ㄧˊ＝方便合宜。[例]便宜行事
不好,ㄅㄨˋ ㄏㄠˇ / ㄅㄨˋ ㄏㄠˋ,ㄅㄨˋ ㄏㄠˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄅㄨˋ ㄏㄠˇ＝1.不佳、不良。[例]心情不好、收成不好、運氣不好_x000D_ 2.不便。[例]看他那麼堅持，我就不好多說了。 ‖ ㄅㄨˋ ㄏㄠˋ＝不喜愛。[例]不好名利
不勝,ㄅㄨˋ ㄕㄥ / ㄅㄨˋ ㄕㄥˋ,ㄅㄨˋ ㄕㄥˋ,目前顯示=第2讀音,改 ㄅㄨˋ ㄕㄥ,不勝枚舉／美不勝收；主讀音,ㄅㄨˋ ㄕㄥ＝1.承受不了。[例]不勝酒力、高處不勝寒 2.無限。形容程度極大。[例]美不勝收、不勝感激 ‖ ㄅㄨˋ ㄕㄥˋ＝不能擊敗敵人贏得勝利。[例]戰無不勝，攻無不克。
排頭,ㄆㄞˊ ㄊㄡˊ / ㄆㄞˊ ˙ㄊㄡ,ㄆㄞˊ ㄊㄡˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄆㄞˊ ㄊㄡˊ＝站在隊伍最前面的人。[例]他因個兒高，每次排隊老當排頭。 ‖ ㄆㄞˊ ˙ㄊㄡ＝苦頭、教訓。[例]他吃的排頭還不夠嗎？竟然還做同樣的事。
泡泡,ㄆㄠ ㄆㄠ / ㄆㄠˋ ㄆㄠˋ,ㄆㄠˋ ㄆㄠˋ,目前顯示=第2讀音,維持 ㄆㄠˋ ㄆㄠˋ,吹泡泡,ㄆㄠ ㄆㄠ＝形容物體寬大膨鬆。[例]泡泡褲、泡泡袖 ‖ ㄆㄠˋ ㄆㄠˋ＝氣泡、水泡或泡狀的東西。[例]吹泡泡、起泡泡、泡泡浴
悶氣,ㄇㄣˋ ㄑㄧˋ / ㄇㄣ ㄑㄧˋ,ㄇㄣ ㄑㄧˋ,目前顯示=第2讀音,改 ㄇㄣˋ ㄑㄧˋ,生悶氣；主讀音,ㄇㄣˋ ㄑㄧˋ＝鬱結在心中的怨憤之氣。[例]他懷著滿腔悶氣，卻無處傾訴。 ‖ ㄇㄣ ㄑㄧˋ＝暫停呼吸。[例]人們行經臭氣四溢的垃圾場，都閉口悶氣，加快腳步。
發悶,ㄈㄚ ㄇㄣ / ㄈㄚ ㄇㄣˋ,ㄈㄚ ㄇㄣ,目前顯示=第1讀音,維持（已是主讀音）,,ㄈㄚ ㄇㄣ＝氣壓低、天氣悶熱、空氣不流通。[例]發悶的天氣，令人易覺困乏。 ‖ ㄈㄚ ㄇㄣˋ＝感覺鬱悶、無聊。[例]這本書非常無趣，讀起來令人發悶。
