字,簡編本首讀音,字型預設,修法
扒,ㄅㄚ,ㄆㄚˊ,IVS
吧,ㄅㄚ,˙ㄅㄚ,IVS
峇,ㄅㄚ,ㄎㄜ,IVS
悖,ㄅㄛˊ,ㄅㄟˋ,缺
唄,ㄅㄞˋ,˙ㄅㄟ,IVS
埤,ㄅㄧˋ,ㄆㄧˊ,IVS
炮,ㄆㄠˊ,ㄆㄠˋ,IVS
刨,ㄆㄠˊ,ㄅㄠˋ,IVS
賁,ㄅㄧˋ,ㄅㄣ,IVS
傍,ㄅㄤˋ,ㄅㄤ,IVS
秘,ㄅㄧˋ,ㄇㄧˋ,IVS
杓,ㄅㄧㄠ,ㄕㄠˊ,IVS
朴,ㄆㄛˋ,ㄆㄨˊ,IVS
澎,ㄆㄥ,ㄆㄥˊ,IVS
匹,ㄆㄧˇ,ㄆㄧ,IVS
疋,ㄆㄧˇ,ㄕㄨ,缺
撇,ㄆㄧㄝ,ㄆㄧㄝˇ,IVS
漂,ㄆㄧㄠ,ㄆㄧㄠˋ,IVS
蘋,ㄆㄧㄣˊ,ㄆㄧㄥˊ,IVS
脯,ㄈㄨˇ,ㄆㄨˊ,IVS
麼,ㄇㄛˊ,˙ㄇㄜ,IVS
沒,ㄇㄛˋ,ㄇㄟˊ,IVS
繆,ㄇㄡˊ,ㄇㄧㄡˋ,IVS
悶,ㄇㄣˋ,ㄇㄣ,IVS
們,ㄇㄣˊ,˙ㄇㄣ,IVS
燜,ㄇㄣˋ,ㄇㄣ,IVS
氓,ㄇㄤˊ,ㄇㄥˊ,IVS
娩,ㄨㄢˇ,ㄇㄧㄢˇ,IVS
靦,ㄊㄧㄢˇ,ㄇㄧㄢˇ,IVS
澠,ㄇㄧㄣˇ,ㄕㄥˊ,IVS
坶,ㄇㄨˇ,ㄇㄨˋ,IVS
姥,ㄇㄨˇ,ㄌㄠˇ,IVS
菲,ㄈㄟˇ,ㄈㄟ,IVS
蜚,ㄈㄟˇ,ㄈㄟ,IVS
蕃,ㄈㄢˊ,ㄈㄢ,IVS
的,ㄉㄧˋ,˙ㄉㄜ,IVS
逮,ㄉㄞˋ,ㄉㄞˇ,IVS
倒,ㄉㄠˇ,ㄉㄠˋ,IVS
都,ㄉㄨ,ㄉㄡ,IVS
儋,ㄉㄢ,ㄉㄢˋ,IVS
翟,ㄓㄞˊ,ㄉㄧˊ,IVS
褶,ㄉㄧㄝˊ,ㄓㄜˊ,IVS
耵,ㄉㄧㄥˇ,ㄊㄧㄥ,IVS
囤,ㄉㄨㄣˋ,ㄊㄨㄣˊ,IVS
侗,ㄉㄨㄥˋ,ㄊㄨㄥˊ,IVS
恫,ㄊㄨㄥ,ㄉㄨㄥˋ,IVS
垌,ㄉㄨㄥˋ,ㄊㄨㄥˊ,IVS
躂,ㄉㄚ,ㄊㄚˋ,IVS
裼,ㄒㄧˊ,ㄊㄧˋ,IVS
帖,ㄊㄧㄝ,ㄊㄧㄝˇ,缺
挑,ㄊㄧㄠ,ㄊㄧㄠˇ,IVS
佻,ㄊㄧㄠˊ,ㄊㄧㄠ,IVS
鋌,ㄊㄧㄥˇ,ㄉㄧㄥˋ,IVS
衕,ㄊㄨㄥˊ,ㄊㄨㄥˋ,IVS
那,ㄋㄚ,ㄋㄚˋ,IVS
娜,ㄋㄨㄛˊ,ㄋㄚˋ,IVS
呢,ㄋㄧˊ,˙ㄋㄜ,IVS
拗,ㄠˋ,ㄋㄧㄡˋ,IVS
輾,ㄓㄢˇ,ㄋㄧㄢˇ,IVS
啦,ㄌㄚ,˙ㄌㄚ,IVS
邋,ㄌㄚ,ㄌㄚˊ,IVS
剌,ㄌㄚˋ,ㄌㄚˊ,IVS
咯,ㄎㄚˇ,˙ㄌㄛ,IVS
樂,ㄩㄝˋ,ㄌㄜˋ,IVS
了,ㄌㄧㄠˇ,˙ㄌㄜ,IVS
累,ㄌㄟˇ,ㄌㄟˋ,IVS
撈,ㄌㄠˊ,ㄌㄠ,IVS
潦,ㄌㄠˇ,ㄌㄧㄠˊ,IVS
摟,ㄌㄡˊ,ㄌㄡˇ,IVS
楞,ㄌㄥˊ,ㄌㄥˋ,IVS
哩,ㄌㄧ,ㄌㄧˇ,IVS
蠡,ㄌㄧˇ,ㄌㄧˊ,IVS
鬲,ㄍㄜˊ,ㄌㄧˋ,IVS
踉,ㄌㄧㄤˊ,ㄌㄧㄤˋ,IVS
