詞目,簡編本注音一式,字型目前顯示,缺什麼
便溺,ㄅㄧㄢˋ ㄋㄧㄠˋ,ㄅㄧㄢˋ ㄋㄧˋ,溺:missing(font:ㄋㄧˋ)
屏營,ㄅㄧㄥ ㄧㄥˊ,ㄆㄧㄥˊ ㄧㄥˊ,屏:missing(font:ㄆㄧㄥˊ/ㄅㄧㄥˇ)
布疋,ㄅㄨˋ ㄆㄧˇ,ㄅㄨˋ ㄕㄨ,疋:missing(font:ㄕㄨ)
碰運氣,ㄆㄥˋ ㄩㄣˋ ˙ㄑㄧ,ㄆㄥˋ ㄩㄣˋ ㄑㄧˋ,氣:missing(font:ㄑㄧˋ)
氆氌,ㄆㄨˇ ㄌㄨˇ,ㄆㄨˇ ?,氌:font-has-no-zhuyin
沒出息,ㄇㄟˊ ㄔㄨ ˙ㄒㄧ,ㄇㄟˊ ㄔㄨ ㄒㄧˊ,息:missing(font:ㄒㄧˊ)
靡爛,ㄇㄧˊ ㄌㄢˋ,ㄇㄧˇ ㄌㄢˋ,靡:missing(font:ㄇㄧˇ)
俯首帖耳,ㄈㄨˇ ㄕㄡˇ ㄊㄧㄝ ㄦˇ,ㄈㄨˇ ㄕㄡˇ ㄊㄧㄝˇ ㄦˇ,帖:missing(font:ㄊㄧㄝˇ)
婦道人家,ㄈㄨˋ ㄉㄠˋ ㄖㄣˊ ˙ㄐㄧㄚ,ㄈㄨˋ ㄉㄠˋ ㄖㄣˊ ㄐㄧㄚ,家:missing(font:ㄐㄧㄚ/ㄍㄨ)
底下,ㄉㄧˇ ˙ㄒㄧㄚ,ㄉㄧˇ ㄒㄧㄚˋ,下:missing(font:ㄒㄧㄚˋ)
頂上功夫,ㄉㄧㄥˇ ㄕㄤˋ ㄍㄨㄥ ˙ㄈㄨ,ㄉㄧㄥˇ ㄕㄤˋ ㄍㄨㄥ ㄈㄨ,夫:missing(font:ㄈㄨ/ㄈㄨˊ)
嘟囔,ㄉㄨ ㄋㄤ,ㄉㄨ ˙ㄋㄤ,囔:missing(font:˙ㄋㄤ)
東家,ㄉㄨㄥ ˙ㄐㄧㄚ,ㄉㄨㄥ ㄐㄧㄚ,家:missing(font:ㄐㄧㄚ/ㄍㄨ)
談生意,ㄊㄢˊ ㄕㄥ ˙ㄧ,ㄊㄢˊ ㄕㄥ ㄧˋ,意:missing(font:ㄧˋ)
螳臂當車,ㄊㄤˊ ㄅㄧˋ ㄉㄤˇ ㄔㄜ,ㄊㄤˊ ㄅㄧˋ ㄉㄤ ㄔㄜ,當:missing(font:ㄉㄤ/ㄉㄤˋ)
圖窮匕見,ㄊㄨˊ ㄑㄩㄥˊ ㄅㄧˇ ㄒㄧㄢˋ,ㄊㄨˊ ㄑㄩㄥˊ ㄅㄧˇ ㄐㄧㄢˋ,見:missing(font:ㄐㄧㄢˋ)
拉生意,ㄌㄚ ㄕㄥ ˙ㄧ,ㄌㄚ ㄕㄥ ㄧˋ,意:missing(font:ㄧˋ)
老公公,ㄌㄠˇ ㄍㄨㄥ ˙ㄍㄨㄥ,ㄌㄠˇ ㄍㄨㄥ ㄍㄨㄥ,公:missing(font:ㄍㄨㄥ)
老人家,ㄌㄠˇ ㄖㄣˊ ˙ㄐㄧㄚ,ㄌㄠˇ ㄖㄣˊ ㄐㄧㄚ,家:missing(font:ㄐㄧㄚ/ㄍㄨ)
